商品コード,製品管理コード,カテゴリコード,カテゴリ,大分類コード,大分類,中分類コード,中分類,通称名,商材コード,商材,ブランドコード,ブランド,コラボブランドコード,コラボブランド,アイテム種類,製品群名,デザイン時期,品番型番,製造番号,製造番号の位置,年式,保証書日付,販売開始日,販売終了日,産地,製造国,刻印,代表カラー,本体カラーコード,本体カラー,柄コード,柄,本体柄コード,本体柄,文字盤カラーコード,文字盤カラー,バンドカラーコード,バンドカラー,文字盤タイプ柄コード,文字盤タイプ柄,素材コード,素材,金性コード,金性,中石素材コード,中石素材,脇石素材コード,脇石素材,本体素材コード,本体素材,金具素材コード,金具素材,ケースの素材コード,ケースの素材,ベルトの素材コード,ベルトの素材,規格サイズコード,規格サイズ,実寸サイズ,サイズ備考,リングサイズ_JP,リングサイズ_US,手首回りサイズ,ケース直径_縦,ケース直径_横,ケースの厚み,長さ,横幅,奥行き_マチ,高さ,重量,カラー_ダイヤモンド,カラー_色石,カット_ダイヤモンド,カラット_中石,カラット_脇石,カードケースの数,ポケット数_内,ポケット数_外,蛍光性,防水,機能,ムーブメント,ケース形状,シーズン,性別コード,性別,年代属性コード,年代属性,鑑定機関,鑑定書番号,宝石の加工処理状態,鑑別書_鑑定書,付属品,保証,特記事項,瑕疵情報,仕入ランクコード,仕入ランク,販売ランクコード,販売ランク,参考上代,参考上代更新日,税込売価,税抜売価,商品概要_カタログ,商品備考,デートコード,仕入金額税抜,仕入日,セール価格税込,セール価格税抜,仕様違い,身幅,着丈,袖丈,肩幅,総丈,ウエスト,股下,ヒール,高さ２,クラリティ_ダイヤ,中石直径,ヴィンテージ,モチーフ,ケース番号,商品画像Ｆ名,商品画像元パス
2300000073751,0000014199707,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,279175G,,,,2023/08,,,,,,ﾛｾﾞ,,,,,,,999,ﾛｾﾞ,25,-,999,ｽﾀｰﾀﾞｲﾔ･Ⅸﾀﾞｲﾔ,,,,,,,,,,,,,4,PG･RG,4,PG･RG,0,,,,,,,28mm,,,,,,,0,,,,,,,,,,　防水,,自動巻,,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,5351500,20250115,4800000,4363637,☆ ,ｻﾝﾀﾞｽﾄ/- 新2023.8,,3000000,20241214,4800000,4363637,,,,,,,,,,,,,,,,cdf/2300000073751_1_b.jpg`061/2300000073751_2_b.jpg`70e/2300000073751_3_b.jpg`3b4/2300000073751_4_b.jpg`966/2300000073751_5_b.jpg`678/2300000073751_6_b.jpg`c64/2300000073751_7_b.jpg`2fb/2300000073751_8_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000145045,0000013638948,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾖｯﾄﾏｽﾀｰ,020,時計,4952,ROLEX,,,,,,268621,,,,2019/03,,,,,,ﾁｮｺﾚｰﾄ,,,,,,,999,ﾁｮｺﾚｰﾄ,25,-,1,-,,,,,,,,,,,,,10,SSxPG,10,SSxPG,0,,,,,,,37㎜,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,0,男女,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, 保証書塗り潰し, ,0,,2,中古品A,2365000,20250228,2500000,2272728,★ ,ﾁｮｺﾚｰﾄ/- 正規2019.3,,1863637,20250126,2500000,2272728,,,,,,,,,,,,,,,,7db/2300000145045_1_b.jpg`632/2300000145045_2_b.jpg`e54/2300000145045_3_b.jpg`173/2300000145045_4_b.jpg`e59/2300000145045_5_b.jpg`453/2300000145045_6_b.jpg`258/2300000145045_7_b.jpg`f53/2300000145045_8_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000147254,0000000067805,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,GMTﾏｽﾀｰⅡ,020,時計,4952,ROLEX,,,,,,116710LN,,,,2013/10,,,,,,BK,,,,,,,1,BK,25,-,1,-,,,,,,,,,,,,,1,SS,1,SS,0,,,,,,,40mm,,,,,,,0,,,,,,,,,,防水,GM　DT,自動巻,R,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, 保証書塗り潰し,ｶﾞﾗｽ傷ﾚﾝｽﾞ･9h ,0,,2,中古品A,880000,20150201,1950000,1772728,★ CAL.3186　裏蓋2350　短剣回し日付ｸｲｯｸﾁｪﾝｼﾞ↑　針回し↑,BK/- 正規2013.10,,1363637,20250127,1950000,1772728,,,,,,,,,,,,,,,,7e0/2300000147254_1_b.jpg`819/2300000147254_2_b.jpg`483/2300000147254_3_b.jpg`92b/2300000147254_4_b.jpg`f02/2300000147254_5_b.jpg`d16/2300000147254_6_b.jpg`abd/2300000147254_7_b.jpg`edd/2300000147254_8_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000185317,0000214139411,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,126333,,,,2020/08,,,,,,ｽﾚｰﾄ,,,,,,,999,ｽﾚｰﾄ,25,-,2,ﾛｰﾏﾝ,,,,,,,,,,,,,9,SSxYG,9,SSxYG,0,,,,,,,41mm,,,,,,,0,,,,,,,,,,防水,,自動巻,,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書 ﾒｰｶｰ修理,あり, , ,0,,2,中古品A,2363900,20250108,2600000,2363637,☆C ｴﾄﾔｹ多い注意,ｽﾚｰﾄ/- ,,1818182,20250214,2600000,2363637,,,,,,,,,,,,,,,,c4f/2300000185317_1_b.jpg`ae0/2300000185317_2_b.jpg`f97/2300000185317_3_b.jpg`517/2300000185317_4_b.jpg`ff1/2300000185317_5_b.jpg`273/2300000185317_6_b.jpg`ee5/2300000185317_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000205930,0000013997564,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾁｪﾘｰﾆｵｰｷｯﾄﾞ,020,時計,4952,ROLEX,,,,,,6221/9,,,,,,,,,,PKｼｪﾙ,,,,,,,17,PKｼｪﾙ,25,-,5,ﾀﾞｲﾔﾓﾝﾄﾞ,,,,,,,,,,,,,5,WG,5,WG,0,,,,,,,26mm,,,,,,,0,,,,,,,,,,非防水,,クォーツ,,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書 ﾒｰｶｰ修理,あり, 保証書塗り潰し, ,0,,2,中古品A,0,,6800000,6181819,☆ ,PKｼｪﾙ/- 並行2004.5,,3636364,20250223,6800000,6181819,,,,,,,,,,,,,,,,090/2300000205930_1_b.jpg`f9e/2300000205930_2_b.jpg`bc1/2300000205930_3_b.jpg`76b/2300000205930_4_b.jpg`180/2300000205930_5_b.jpg`439/2300000205930_6_b.jpg`df1/2300000205930_7_b.jpg`5b0/2300000205930_8_b.jpg`994/2300000205930_9_b.jpg`842/2300000205930_10_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000221336,0000240011149,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,126331G,,,,2021/03,,,,,,ｻﾝﾀﾞｽﾄ,,,,,,,999,ｻﾝﾀﾞｽﾄ,25,-,5,ﾀﾞｲﾔﾓﾝﾄﾞ,,,,,,,,,,,,,10,SSxPG,10,SSxPG,0,,,,,,,41mm,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,2489300,20240603,2950000,2681819,★ ,ｻﾝﾀﾞｽﾄ/- 新2021.3,,1927273,20250301,2950000,2681819,,,,,,,,,,,,,,,,c5d/2300000221336_1_b.jpg`883/2300000221336_2_b.jpg`05c/2300000221336_3_b.jpg`950/2300000221336_4_b.jpg`d24/2300000221336_5_b.jpg`509/2300000221336_6_b.jpg`78e/2300000221336_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000261271,0000000120838,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,179174NRD,,,,2006/01,,,,,,PKｼｪﾙ,,,,,,,17,PKｼｪﾙ,25,-,2,ﾛｰﾏﾝ,,,,,,,,,,,,,11,SSxWG,1,SS,0,,,,,,,26mm,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, ,ｶﾞﾗｽ傷 ,0,,2,中古品A,957000,20150201,1000000,909091,★63130 ,PKｼｪﾙ/- 旧並行2006.01,,577273,20250315,1000000,909091,,,,,,,,,,,,,,,,a11/2300000261271_1_b.jpg`dfb/2300000261271_2_b.jpg`dac/2300000261271_3_b.jpg`336/2300000261271_4_b.jpg`4e8/2300000261271_5_b.jpg`bc3/2300000261271_6_b.jpg`952/2300000261271_7_b.jpg`76b/2300000261271_8_b.jpg`37a/2300000261271_9_b.jpg`b54/2300000261271_10_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000280616,0000013809782,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ｴｸｽﾌﾟﾛｰﾗｰⅡ,020,時計,4952,ROLEX,,,,,,226570,,,,2022/10,,,,,,BK,,,,,,,1,BK,25,-,1,-,,,,,,,,,,,,,1,SS,1,SS,0,,,,,,,42mm,,,,,,,0,,,,,,,,,,防水,GM　DT,自動巻,R,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,1477300,20250628,1600000,1454546,★ 短剣回し日付ｸｲｯｸﾁｪﾝｼﾞ↓　針回し↓,BK/- 新2022.10,,1272728,20250321,1600000,1454546,,,,,,,,,,,,,,,,69e/2300000280616_1_b.jpg`3f7/2300000280616_2_b.jpg`1af/2300000280616_3_b.jpg`f21/2300000280616_4_b.jpg`9a5/2300000280616_5_b.jpg`d35/2300000280616_6_b.jpg`7dc/2300000280616_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000283860,0000000044042,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ,020,時計,4952,ROLEX,,,,,,176200,,,,2014/12,,,,,,SV,,,,,,,6,SV,25,-,999,3.6.9･PKｲﾝﾃﾞｯｸｽ,,,,,,,,,,,,,1,SS,1,SS,0,,,,,,,26mm,,,,,,,0,,,,,,,,,,防水,3,自動巻,R,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, 保証書塗り潰し, ,0,,2,中古品A,510400,20191001,680000,618182,★ ,SV/- 2014.12,,409091,20250322,680000,618182,,,,,,,,,,,,,,,,470/2300000283860_1_b.jpg`d10/2300000283860_2_b.jpg`bd7/2300000283860_3_b.jpg`740/2300000283860_4_b.jpg`231/2300000283860_5_b.jpg`eb7/2300000283860_6_b.jpg`537/2300000283860_7_b.jpg`ffb/2300000283860_8_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000317763,0000000145565,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,179174,,,,2006/07,,,,,,WT,,,,,,,4,WT,25,-,2,ﾛｰﾏﾝ,,,,,,,,,,,,,11,SSxWG,1,SS,0,,,,,,,26mm,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, ,ｶﾞﾗｽ傷 ,0,,2,中古品A,759000,20150201,900000,818182,★ﾌﾞﾚｽ63130 ,WT/- 並行2006.7,,550000,20250330,900000,818182,,,,,,,,,,,,,,,,52f/2300000317763_1_b.jpg`648/2300000317763_2_b.jpg`f30/2300000317763_3_b.jpg`d58/2300000317763_4_b.jpg`68c/2300000317763_5_b.jpg`7db/2300000317763_6_b.jpg`b66/2300000317763_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000331646,0000013766047,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,126331･3,,,,2025/02,,,,,,ｽﾚｰﾄ,,,,,,,999,ｽﾚｰﾄ,25,-,2,ﾛｰﾏﾝ,,,,,,,,,,,,,10,SSxPG,10,SSxPG,0,,,,,,,41mm,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,2333100,20250812,2650000,2409091,★ｴﾄﾔｹ多い注意 ,ｽﾚｰﾄ/- 新2025.2,,2181819,20250403,2650000,2409091,,,,,,,,,,,,,,,,b9e/2300000331646_1_b.jpg`f6a/2300000331646_2_b.jpg`86f/2300000331646_3_b.jpg`5cb/2300000331646_4_b.jpg`dfc/2300000331646_5_b.jpg`72b/2300000331646_6_b.jpg`33c/2300000331646_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000342154,0000198957711,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,279174,,,,2021/02,,,,,,ﾀﾞｰｸｸﾞﾚｰ,,,,,,,999,ﾀﾞｰｸｸﾞﾚｰ,25,-,1,-,,,,,,,,,,,,,11,SSxWG,1,SS,0,,,,,,,28㎜,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,1290300,20250424,1450000,1318182,★ ,ﾀﾞｰｸｸﾞﾚｰ/- 新2021.2,,936364,20250406,1450000,1318182,,,,,,,,,,,,,,,,9b2/2300000342154_1_b.jpg`823/2300000342154_2_b.jpg`2fc/2300000342154_3_b.jpg`5a0/2300000342154_4_b.jpg`eb7/2300000342154_5_b.jpg`379/2300000342154_6_b.jpg`872/2300000342154_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000345827,0000000117036,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,116231,,,,2005/10,,,,,,PK,,,,,,,3,PK,25,-,1,-,,,,,,,,,,,,,10,SSxPG,10,SSxPG,0,,,,,,,36㎜,,,,,,,0,,,,,,,,,,防水,,自動巻,,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, 保証書塗り潰し,ｶﾞﾗｽ傷 10･12h ,0,,2,中古品A,1177000,20150201,1700000,1545455,C☆ ,PK/- 正規2005.10,,909091,20250407,1700000,1545455,,,,,,,,,,,,,,,,261/2300000345827_1_b.jpg`332/2300000345827_2_b.jpg`2d8/2300000345827_3_b.jpg`b21/2300000345827_4_b.jpg`296/2300000345827_5_b.jpg`433/2300000345827_6_b.jpg`ef7/2300000345827_7_b.jpg`31c/2300000345827_8_b.jpg`e84/2300000345827_9_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000358100,0000000169875,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙﾃﾞｲﾄ,020,時計,4952,ROLEX,,,,,,115200,,,,2009/12,,,,,,SV,,,,,,,6,SV,25,-,1,-,,,,,,,,,,,,,1,SS,1,SS,0,,,,,,,34mm,,,,,,,0,,,,,,,,,,防水,,自動巻,,,2,男性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, , ,0,,2,中古品A,687500,20200101,930000,845455,☆ ,SV/- 並行2009.12,,590910,20250411,930000,845455,,,,,,,,,,,,,,,,e85/2300000358100_1_b.jpg`2c9/2300000358100_2_b.jpg`2cc/2300000358100_3_b.jpg`09d/2300000358100_4_b.jpg`97a/2300000358100_5_b.jpg`df8/2300000358100_6_b.jpg`d8f/2300000358100_7_b.jpg,https://img.komehyo.jp/contents/images/goods/
2300000366433,0000000141017,20,ウォッチ／クロック,10,ウォッチ,10,ウォッチ,ﾃﾞｲﾄｼﾞｬｽﾄ,020,時計,4952,ROLEX,,,,,,79173 2BR,,,,2002/06,,,,,,GRｼﾞｪｲﾄﾞ,,,,,,,999,GRｼﾞｪｲﾄﾞ,25,-,5,ﾀﾞｲﾔﾓﾝﾄﾞ,,,,,,,,,,,,,9,SSxYG,9,SSxYG,0,,,,,,,26mm,,,,,,,0,,,,,,,,,,防水,3　DT,自動巻,R,,1,女性,0,なし,,,,,ｹｰｽ(箱) 保証書,あり, 保証書塗り潰し, ,0,,2,中古品A,0,,2050000,1863637,★FF468B　BN62523D-18 ,GRｼﾞｪｲﾄﾞ/- 並行2002.6,,890910,20250412,2050000,1863637,,,,,,,,,,,,,,,,72a/2300000366433_1_b.jpg`4bd/2300000366433_2_b.jpg`46e/2300000366433_3_b.jpg`165/2300000366433_4_b.jpg`f13/2300000366433_5_b.jpg`18f/2300000366433_6_b.jpg`2ff/2300000366433_7_b.jpg`e66/2300000366433_8_b.jpg,https://img.komehyo.jp/contents/images/goods/
